Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mouser Price/Stock,Mouser Part Number,Manufacturer_Name,Height,RS Price/Stock,RS Part Number,Manufacturer_Part_Number,Field10,Field8,Field9,Field4,Field7,Field6,Field5
1,"Unpolarized capacitor, small symbol",C_Small,C16 C17,10pF,C_0805_2012Metric,2,~,,,,,,,,,,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C18 C19,22pF,C_0805_2012Metric,2,~,,,,,,,,,,,,,,
3,"Polarized capacitor, small US symbol",CP1_Small,C1,100nF,CP_Radial_D5.0mm_P2.00mm,1,~,,,,,,,,,,,,,,
4,Unpolarized capacitor,C,C20 C23 C24 C25 C26 C27 C28 C37,100nF,C_0805_2012Metric,8,~,,,,,,,,,,,,,,
5,Capacitor symbol for simulation only,C,C4 C6,100nF,C_0805_2012Metric,2,~,,,,,,,,,,,,,,
6,"Polarized capacitor, small US symbol",CP1_Small,C21,1uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,~,,,,,,,,,,,,,,
7,"Polarized capacitor, small US symbol",CP1_Small,C2,10uF,CP_Radial_D5.0mm_P2.00mm,1,~,,,,,,,,,,,,,,
8,"Polarized capacitor, small US symbol",CP1_Small,C22,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,~,,,,,,,,,,,,,,
9,"Polarized capacitor, small US symbol",CP1_Small,C38,100uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,~,,,,,,,,,,,,,,
10,,TAJA105M020RNJ-c1206_smd_tantalum-Door_Locking-rescue,C5,1uF/25V,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,http://www.farnell.com/datasheets/1680476.pdf,https://www.mouser.com/Search/Refine.aspx?Keyword=581-TAJA105M020,581-TAJA105M020,AVX,1.8,http://uk.rs-online.com/web/p/products/1360152,1360152,TAJA105M020RNJ,,,,,,,
11,,TAJA105M020RNJ-c1206_smd_tantalum-Door_Locking-rescue,C3,4.7uF/25V,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,http://www.farnell.com/datasheets/1680476.pdf,https://www.mouser.com/Search/Refine.aspx?Keyword=581-TAJA105M020,581-TAJA105M020,AVX,1.8,http://uk.rs-online.com/web/p/products/1360152,1360152,TAJA105M020RNJ,,,,,,,
12,Light emitting diode,LED,D4 D5 D6 D7,LED,LED_0805_2012Metric,4,~,,,,,,,,,,,,,,
13,"Resettable fuse, polymeric positive temperature coefficient, small symbol",Polyfuse_Small,F2,Polyfuse_Small,C_1206_3216Metric,1,~,,,,,,,,,,,,,,
14,Ferrite bead,Ferrite_Bead,FB3 FB4,Ferrite_Bead,R_0805_2012Metric,2,~,,,,,,,,,,,,,,
15,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03_Male,J19 J24,BOOT0,PinHeader_1x03_P2.54mm_Vertical,2,~,,,,,,,,,,,,,,
16,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J14 J38,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,2,~,,,,,,,,,,,,,,
17,"Generic connector, double row, 02x03, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x03_Counter_Clockwise,J2,Conn_02x03_Counter_Clockwise,PinHeader_2x03_P2.54mm_Vertical,1,~,,,,,,,,,,,,,,
18,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x02,J1,INPUT_SUPPLY,TerminalBlock_bornier-2_P5.08mm,1,~,,,,,,,,,,,,,,
19,"Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x04,J3 J4 J5 J6 J7 J8 J9 J10 J11 J12,Screw_Terminal_01x04,Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,10,~,,,,,,,,,,,,,,
20,,440247-2-USB_MINI_B-SNAPEDA-Door_Locking-rescue,P2,440247-2,TE_440247-2,1,TE Connectivity,,,,,,,,https://www.te.com/usa-en/product-440247-2.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493,440247-2,None,None,Mini USB B Type RCPT,Unavailable,440247-2
21,"Resistor, small symbol",R_Small,R34,470,R_0805_2012Metric,1,~,,,,,,,,,,,,,,
